name,operator,output,source,method,wikidata_id,latitude,longitude
"Bruce Nuclear Generating Station","Bruce Power","6,232 MW","nuclear","fission",Q795104,,
"Centrale Robert-Bourassa","Hydro-Québec","5,616 MW","hydro","water-storage",Q1456859,,
"Churchill Falls Generating Station","Newfoundland and Labrador Hydro","5,428 MW","hydro","water-storage",Q1458507,,
"Darlington Nuclear Generating Station","Ontario Power Generation","3,512 MW","nuclear","fission",Q1739391,,
"Gordon M. Shrum Generating Station","BC Hydro","2,880 MW","hydro","water-storage",Q1758688,,
"Mica","BC Hydro","2,805 MW","hydro","water-storage",,,
"Centrale La Grande-4",,"2,779 MW","hydro",,Q1339475,,
"Revelstoke Generating Station","BC Hydro","2,480 MW","hydro",,Q1433635,,
"La Grande-3","Hydro-Québec","2,418 MW","hydro","run-of-the-river",Q1339454,,
"Centrale La Grande-2A","Hydro-Québec","2,106 MW","hydro","water-storage",Q1337853,,
"Lennox Generating Station",,"2,100 MW","gas","combustion",Q6522858,,
"Pickering Nuclear Generating Station","Ontario Power Generation","2,086 MW","nuclear","fission",Q1739455,,
"Centrale de Beauharnois","Hydro-Québec","1,903 MW","hydro","run-of-the-river",Q925113,,
"Genesee Generating Station","Capital Power","1,857 MW","gas","combustion",Q5532732,,
"Centrale Manic-5","Hydro-Québec","1,596 MW","hydro",,Q1425918,,
"Sir Adam Beck II Generating Station",,"1,499 MW","hydro","water-storage",Q7525907,,
"Centrale La Grande-1","Hydro-Québec","1,436 MW","hydro",,Q1338919,,
"Limestone Generating Station","Manitoba Hydro","1,340 MW","hydro","run-of-the-river",Q6830590,,
"Kettle Generating Station","Manitoba Hydro","1,220 MW","hydro","run-of-the-river",Q6395516,,
"Centrale René-Lévesque","Hydro-Québec","1,183 MW","hydro","water-storage",Q1302322,,
"Centrale Bersimis 1","Hydro-Québec","1,178 MW","hydro",,Q1410164,,
"Centrale Jean-Lesage","Hydro-Québec","1,145 MW","hydro","water-storage",Q1328614,,
"Centrale Shipshaw","Rio Tinto Alcan","1,145 MW","hydro",,Q3482327,,
"Site C Powerhouse","BC Hydro","1,100 MW","hydro","run-of-the-river",,,
"Centrale Manic-5-PA","Hydro-Québec","1,064 MW","hydro",,Q1425918,,
"R.H. Saunders Generating Station","Ontario Power Generation","1,045 MW","hydro","run-of-the-river",,,
"Greenfield Energy Centre","Calpine","1,038 MW","gas","combustion",Q5603958,,
"Centrale Outardes-3","Hydro-Québec","1,026 MW","hydro","run-of-the-river",Q1329257,,
"Long Spruce Generating Station",,"1,010 MW","hydro","run-of-the-river",Q373526,,
"Coleson Cove Generating Station","NB Power","978 MW","oil","combustion",Q5144673,,
"Kemano Generating Station","Rio Tinto","890 MW","hydro","water-storage",Q21188284,,
"Kemano Generating Station",,"890 MW","hydro",,Q21188284,,
"Centrale de la Sainte-Marguerite-3","Hydro-Québec","884 MW","hydro","water-storage",Q5257060,,
"Centrale Laforge-1","Hydro-Québec","878 MW","hydro",,Q1338720,,
"Centrale Bersimis-2","Hydro-Québec","869 MW","hydro","run-of-the-river",Q1338316,,
"Shepard Energy Centre","Enmax / Capital Power","860 MW","gas","combustion",Q28233486,,
"Keephills Generating Station",,"858 MW","gas","combustion",Q6383236,,
"Seven Mile Dam Generating Station","FortisBC","848 MW","hydro",,Q7457335,,
"Goreway Power Station","Ontario Power Authority","839 MW","gas","combustion",Q5586190,,
"Centrale de Chute-des-Passes","Rio Tinto Alcan","833 MW","hydro","water-storage",Q61376957,,
"Centrale Bernard-Landry","Hydro-Québec","829 MW","hydro","run-of-the-river",Q65212746,,
"Muskrat Falls","Newfoundland and Labrador Hydro","824 MW","hydro",,Q65211718,,
"Boundary Dam Power Station","SaskPower","813 MW","coal","combustion",Q4949936,,
"Sheerness Generating Station","ATCO Electric - TransAlta Utilities","800 MW","gas","combustion",Q7492507,,
"Centrale aux Outardes-4",,"785 MW","hydro",,Q1328582,,
"Centrale de Carillon","Hydro-Québec","753 MW","hydro","run-of-the-river",Q2944472,,
"Peace Canyon Generating Station","BC Hydro","736 MW","hydro",,Q7157342,,
"Keeyask Generating Station",,"695 MW","hydro",,Q65212702,,
"Point Lepreau Nuclear Generating Station","NB Power","660 MW","nuclear","fission",Q1391137,,
"Mactaquac Generating Station","NB Power","653 MW","hydro","run-of-the-river",Q65211669,,
"Halton Hills Generating Station","Atura Power","642 MW","gas","combustion",,,
"Centrale La Romaine-2","Hydro-Québec","640 MW","hydro","water-storage",Q65212845,,
"Queen Elizabeth Power Station",,"634 MW","gas","combustion",Q7270374,,
"Lingan Generating Station",,"620 MW","coal","combustion",Q6553764,,
"Bay d'Espoir Hydroelectric Power Station",,"604 MW","hydro",,Q4874173,,
"Kootenay Canal Generating Station","BC Hydro","583 MW","hydro",,Q6430821,,
"Poplar River Power Station","SaskPower","582 MW","coal","combustion",Q7229425,,
"Brighton Beach LP Power Station","Atco Power & Ontario Power Generation","580 MW","gas","combustion",Q4967600,,
"Centrale de cogénération de Bécancour","TC Énergie","550 MW","gas","combustion",Q11960391,,
"Portlands Energy Centre","Ontario Power Generation/TransCanada Energy Limited","550 MW","gas","combustion",Q7232096,,
"Portlands Energy Centre","Atura Power","550 MW","gas","combustion",Q7232096,,
"Battle River Generating Station","ATCO Power","540 MW","gas","combustion",Q4870103,,
"Centrale de la Toulnustouc","Hydro-Québec","526 MW","hydro",,Q203226,,
"Centrale aux Outardes-2",,"523 MW","hydro","run-of-the-river",Q1329822,,
"Sundance Power Station",,"514 MW","gas","combustion",Q7639182,,
"Centrale Eastmain-1","Hydro-Québec","507 MW","hydro","run-of-the-river",Q65212745,,
"NB Power Belledune Generating Station","NB Power","490 MW","coal","combustion",Q11960505,,
"Waneta Dam","FortisBC","490 MW","hydro","run-of-the-river",Q7967344,,
"Bridge River 1 & 2 Generating Stations","BC Hydro","478 MW","hydro",,Q4966280,,
"Joffre Cogeneration CCGT Power Plant","Heartland Generation Ltd., Capital Power","474 MW","gas","combustion",Q6214627,,
"Grand Rapids Generating Station","Manitoba Hydro","472 MW","hydro","run-of-the-river",,,
"Centrale Brisay","Hydro-Québec","469 MW","hydro",,Q1338361,,
"Buffalo Plains Wind Farm","Copenhagen Infrastructure Partners","466 MW","wind",,,,
"Travers Solar","Travers 2 Solar LP","465 MW","solar","photovoltaic",,,
"Holyrood Thermal Generating Station","Nalcor","450 MW","oil",,Q5887144,,
"Centrale d'isle Maligne","Rio Tinto Alcan","448 MW","hydro","water-storage",Q2944567,,
"Sarnia Regional Cogeneration Plant","TransAlta","444 MW","gas",,Q7424349,,
"Sir Adam Beck I Generating Station",,"437 MW","hydro","water-storage",Q7525907,,
"Des Joachims Power Station",,"429 MW","hydro",,Q11965343,,
"Firebag Oil Sands power station",,"425 MW","gas","combustion",,,
"Tufts Cove Generating Station","Nova Scotia Power","415 MW","gas;oil","combustion",,,
"Centrale La Romaine-3","Hydro-Québec","414 MW","hydro","water-storage",Q65212846,,
"Bécancour gas turbine","Hydro-Québec","411 MW","gas","combustion",,,
"Millbank power plant","Energie NB Power","397 MW","diesel",,,,
"Parc éolien Rivière-du-Moulin","EDF Renouvelables","395 MW","wind",,,,
"Complexe hydroélectrique de Shawinigan","Hydro-Québec","394 MW","hydro","run-of-the-river",Q42805033,,
"Centrale de la Péribonka",,"385 MW","hydro",,Q2944505,,
"Brazeau Powerhouse","TransAlta","355 MW","hydro",,,,
"Chinook Power Station","SaskPower","353 MW","gas","combustion",,,
"Parc éolien de la Seigneurie de Beaupré","Boralex","350 MW","wind",,,,
"Abitibi Canyon Generating Station",,"349 MW","hydro",,Q4667986,,
"Centrale McCormick","Hydro-Québec","335 MW","hydro",,Q731237,,
"Brandon Generating Station",,"333 MW","gas","combustion",Q4956866,,
"Calgary Energy Centre","Enmax","320 MW","gas","combustion",Q28233484,,
"Centrale Laforge-2","SEBJ; Hydro-Québec","319 MW","hydro",,Q1329837,,
"Trenton Generating Station","Nova Scotia Power","310 MW","coal","combustion",,,
"Jenner Wind Power Project Phase 1-3","Jenner Wind Limited Partnership (JWLP)","303 MW","wind",,,,
"Centrale de la Trenche","Hydro-Québec","302 MW","hydro","water-storage",Q769693,,
"H.R. Milner Plant","Maxim Power Corp","300 MW","gas","combustion",,,
"Parc éolien du Lac-Alfred","Enbridge, EDF EN, MRC de La Matapédia et MRC de La Mitis","300 MW","wind",,,,
"Blackspring Ridge Wind Farm","EDF Renewables Canada","299 MW","wind",,,,
"Sharp Hills Wind Farm","edp Renewables","297 MW","wind",,,,
"Centrale de La Tuque",,"294 MW","hydro","water-storage",Q2944478,,
"Bayside Generating Station","NB Power","290 MW","oil",,,,
"E.B. Campbell Hydroelectric Station","SaskPower","288 MW","hydro",,Q5321573,,
